Region,CountryCount,TotalPop_M,TotalPop_pct,Under40_M,Under40_pct,Under20_M,Under20_pct,Age0to4_M,Age0to4_pct,Over65_M,Over65_pct
South Asia,8,1992.8,100.0,1361.9,68.3,708.2,35.5,173.4,8.7,136.8,6.9
Northeast Asia,8,1652.2,100.0,778.5,47.1,342.8,20.7,55.6,3.4,268.7,16.3
Sub-Saharan Africa,50,1268.3,100.0,1025.5,80.9,650.0,51.2,187.4,14.8,41.0,3.2
Europe (incl. Russia),51,745.8,100.0,333.1,44.7,153.5,20.6,32.9,4.4,156.1,20.9
Southeast Asia,11,700.0,100.0,436.4,62.3,221.0,31.6,50.5,7.2,58.8,8.4
Middle East & North Africa,23,669.8,100.0,460.4,68.7,249.8,37.3,63.1,9.4,41.7,6.2
Latin America & Caribbean,50,667.9,100.0,407.4,61.0,200.2,30.0,46.3,6.9,68.0,10.2
North America,5,387.5,100.0,195.2,50.4,90.5,23.3,20.5,5.3,72.0,18.6
Central Asia,8,100.8,100.0,67.5,67.0,37.8,37.5,10.5,10.4,7.4,7.3
Oceania & Australasia,23,46.6,100.0,27.1,58.1,13.8,29.5,3.4,7.4,6.4,13.8
